name,address,city,phone,fax,status,capital,latitude,longitude,activity
Aivi maroc,Quartier Souani Rue19 N1 - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,10 000  DHS,35.761513,-5.831744,industrie de la confection
Maroc fiamma,566 Bd De La Grande Ceinture - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.58518,-7.54937,fabricant d'articles menagers
Marocaine des travaux du nord (ste),2bis Rue El Guebbas - Fès,Fès,,[],Société à Responsabilité Limitée,3 000 000  DHS,34.060509,-4.979221,entreprise generale de travaux publics et batiments
Faddoukhair chakor restauration,"25, Rue Meknes Angle Rue Moulay Yacoub. - Rabat",Rabat,,[],Société à Responsabilité Limitée,100 000  DHS,34.015049,-6.832719999999995,travaux de restauration.
***,*** -,,,[],Société à Responsabilité Limitée,120 000  DHS,33.594516,-7.628428,
Lakhdar de batiment et genie civil (ese),Avenue Hassan Seghir N34 - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.594755,-7.610325,batiment et genie civil
Etoile dent,Bd Mohamed V Al Hisslah N6 - Sale,Sale,,[],Société à Responsabilité Limitée,300 000  DHS,34.033333,-6.8,fabricant d'appareils ou de pieces de protheses dentaires
Marocaine des futs transports et containers (ste),71 Rue Allal Ben Abdallah - Casablanca,Casablanca,,[],Société Anonyme,10 250 000  DHS,33.59554,-7.61425,"achat, vente, location, futailles containers citernes, etc. .."
Societe atlascan,Hay Ifriquia Rue 39 N5 Ben M'sik Mediouna - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.5571851065,-7.5905580649,diagnostic auto et commercialisation appareils diagnostic
Frescos marrucos,19 Rue Morgan Emsallah - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,10 000  DHS,35.78033,-5.81548,import export
La casablancaise de genie civil,Imm 7 N16 Hay Al Azhar Sidi Bernoussi - Sidi Bernoussi (AR),Sidi Bernoussi (AR),,[],Société à Responsabilité Limitée,10 000  DHS,33.6003574967,-7.48430972711,entrepreneur de batiment.
Rocagest (ste)  (ROCAGEST),41 Bd De Paris - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.593075,-7.61941,la souscription l'acquisition l'echange la gestion la vente d'actions d'obligations ainsi que tous autres droits dans toutes stes
Tartes vi larica,D11 Residence Ifrane Route Casa Km 4 - Rabat,Rabat,,[],Société à Responsabilité Limitée,100 000  DHS,34.015049,-6.83272,entreprise des travaux de restaurant
Pompes funebres generales,Route Du Cimetiere - Fès,Fès,,[],Société Anonyme,1 575 000 064  DHS,34.033333,-5,service funebres
Itkane (boulangerie al),Rue Hay Salam Secteur 7 Lot N335 - Sale,Sale,,[],Société à Responsabilité Limitée,100 000  DHS,34.020119,-6.770376,exploitant de boulangerie par procedes mecaniques
Ayatex  (AYATEX),118 Rue Mimoza Beausejour - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.57003,-7.645985,la confection la broderie de tout vetement
Africaine d'industrie (ste)  (SAFDI),10 Rue Dumont D'urville - Casablanca,Casablanca,,[],Société Anonyme,100 000 000  DHS,33.58694440000001,-7.6111111000000164,industrie et commerce de caoutchouc et d' articles manufactures industrie commerce du cuir synthetique en matiere plastique produits chimique
Multi fruits,Residence Koutoubia Bd Bagdad Imm 13 Appt 3 Ain Chock - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.55056,-7.58914,"import export achat et vente des fruits et legumes, marchand importateur"
Grand magreb (rond point),28 Abou Alaa El Maari - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,10 000  DHS,35.7779,-5.80358,activite touristique
Condor (ste d'ese et de commerce)  (CONDOR),240 Rue De L'aviation Francaise - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,6 000  DHS,33.5887,-7.61643,toutes marchandises entreprises diverses
Maghreb arab center (ste)  (MARCE),53 Bd Raphael Maarif - Casablanca,Casablanca,,[],Société Anonyme,18 000  DHS,33.580262,-7.630217,"enseignement a plein temps et distance impression, edition libraairie et materiel de bureau et scolaire"
Societe immobiliere el ouhabia,9 Rue Ksar Essouk - Rabat,Rabat,,[],Société à Responsabilité Limitée,100 000  DHS,34.02255,-6.82572,gerant d'immeubles
Agricole de prinhas (ste),Immouzer Du Kandar Domaine De Pinhas -,,,[],Société Anonyme,1 000 000  DHS,33.594516,-7.628428,"l'acquisition, l'exploitation et eventuellement la revente de tous domaines agricoles"
France maroc (auto motos pieces)  (APDFM),Av Ibn Haitam Rue Hmidate Hay Inbiaat N3 - Sale,Sale,,[],Société à Responsabilité Limitée,10 000  DHS,34.054547,-6.779549,"marchand de voitures automobiles, marchand de pieces detachees pour voitures automobiles"
Jk ii  (JK II),Chez Cce 46 Rue Ibn Batouta - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.593645,-7.61278,diffusion de maroquinerie et autres accessoires ainsi que la fabrication d'articles et de chaussures confectionnees
Recherches minieres (ste cherifienne de),26 Rue Michel De L'hopital - Casablanca,Casablanca,,[],Société Anonyme,70 000 000  DHS,33.58694440000001,-7.6111111000000164,prospection etudes et recherches minieres
Zohayr negoce,Hay Mandarouna Rue 16 N3 446 Hay Hassani - Casablanca,Casablanca,,[],Société à Responsabilité Limitée à Associé Unique,60 000  DHS,33.5313582333,-7.61363426043,import export
Holding financiere et d'investissement du detroit,"7, Rue Du Mexique - Tanger-Médina (AR)",Tanger-Médina (AR),,[],Société à Responsabilité Limitée,200 000  DHS,35.77997,-5.81408,holding financiere gerant de valeurs mobilieres
Ste francaise d'importation au maroc  (SOFRIMA),4 Bd De Suez - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,200 000  DHS,33.5654,-7.6089,import-export de tous produits
La chiffonniere,20 Rue Clemenceau - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.593122,-7.615238,linger (marchand) en detail des articles de qualite
Tabrikt (ste ese),Rue Tabriquet Lot Mamounia Imm 13 Appt 11 - Sale,Sale,,[],Société Anonyme,40 000  DHS,34.036539,-6.80378,entreprise de travaux divers ou de construction
Tamra net,7 Rue Mahatma Ghandi - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.77791,-5.82092,achat vente importation et exportation tous produits informatiques l'exploitation de cybercafe
Auto-corporation,Bd Mohamed V - Fès,Fès,,[],Société Anonyme,150 000 000  DHS,34.035872,-4.997663,exposition et vente de vehicules et materiels automobiles
Franco-marocaine (fonderie),15 Rue De Contenac - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,420 000  DHS,33.58694440000001,-7.6111111000000164,fonderie de metaux
Centrale mediterraneenne,170 Bd Bourgadam Cosmos Ii - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.59088,-7.571929,representant de commerce
Hybea,Val Fleuri 14 Zankat Abdellah Ansari - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,10 000  DHS,35.774039,-5.825627,fabrication de la parfumerie
New toitures,3 Rue Du Calavon Bd Abdelmoumen Quartier Des Hopitaux - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.578428,-7.624644,achat de marchandises des toitures et installation
Capana afrique du nord,Bd De La Gironde Angle Rue De Libourne - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,6 000 000  DHS,33.5808250308,-7.59778903469,"achat, vente de tous produits et notamment agrumes"
Bk2m export (ste),Secteur D Hay Errahma N1248 - Sale,Sale,,[],Société à Responsabilité Limitée,40 000  DHS,34.036539,-6.80378,exploitant un etablissement industriel pour la fabrication des vetements confectionnes
Ste cooperative artisanale des patros maroquiners de fes,42 Ain Allou - Fès-Médina (AR),Fès-Médina (AR),,[],Société Anonyme,1 500 000  DHS,34.058218,-4.982224,maroquinerie
A votre service tourisme (ste),5 Rue De Syrie - Marrakech,Marrakech,,[],Société à Responsabilité Limitée,200 000  DHS,31.635115,-8.009529,agence de voyage et voyages touristiques
Confection majid,18 Rue Abi Hassane Chadli Residence Bilal - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.768486,-5.809275,confection et import export
Sciences appliquees (fid des)  (FIDUSAP),85 Bd Idriss Lahrizi - Casablanca,Casablanca,,['0522492487'],Société à Responsabilité Limitée,200 000  DHS,33.59273,-7.6184,l'etude l'exprestise la tenue de toutes comptabilites
Kiralma  (KIRALMA),Al Miaraj Center Q Des Hôpitaux An Bd Abdelmoumen Et Anoual N°48 - Casablanca,Casablanca,"['0522344365', '0522357387']",['0522356657'],Société à Responsabilité Limitée,25 000 000  DHS,33.568951,-7.611767,import et vente de matériels d'irrigation
Mediouna (briqueterie),40 Rue De Mexique - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,10 000  DHS,35.77997,-5.81408,briqueterie
Agence mercur,24 Bd Mohamed V - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 050  DHS,33.58694440000001,-7.6111111000000164,"toutes operations de representations courtage, toutes transactions immobilieres, transit de marchandises et tous moyens de transports"
Advanced medical systems  (ADMESYS),174 Bd Zerktouni - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.58645,-7.63083,"toute activite de conseil, de formation de vente et d'intermediation dans le domaine medicale"
Ste de decoration de construction lamane et barkaoui  (SODECOLAB),Rue Salima Hay Oued Eddahab N16 - Sale,Sale,,[],Société Anonyme,300 000  DHS,34.049343,-6.822133,entrepreneur de travaux divers ou de constructions
Fes (comptoir laitier et alimentaire de),11 Rue De L'industrie - Fès,Fès,,[],Société Anonyme,1 000 000  DHS,34.033333,-5,industrie et commerce du lait et produits d'alimentation
Mormina (cabinet etudes et metres)  (CAEMM),58 Rue De Lille - Casablanca,Casablanca,,[],Société en Nom Collectif,10 000  DHS,33.58992,-7.60034,metreur verificateur
"Transafrique, marocaine d'assurances (cie)",11 Rue Caporal Beaux - Casablanca,Casablanca,,[],Société Anonyme,50 000 000  DHS,33.58694440000001,-7.6111111000000164,toutes operations d'assurances et de reassurances contre tous risques
Quincaillerie du depart  (QUIDEP),"60, Avenue El Ba Amrani, Hay Tarik, Sidi Bernoussi - Sidi Bernoussi (AR)",Sidi Bernoussi (AR),['0522730935'],['0522731793'],Société Anonyme,600 000  DHS,33.58694440000001,-7.6111111000000164,"le negoce, l'achat, la vente, l'importation, la transformation l'exportation construction metallique..."
Societe asmak chamal,32 Bd Zektouni - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.778984,-5.808854,import export poissons
Barqi bois,Lot Assiya Av Mohamed V Hay Karima Imm N17 - Sale,Sale,,[],Société Anonyme,100 000  DHS,34.05398,-6.79481,marchand de bois de menuiserie en gros
Commerciale et industrielle (electricite)  (ECOMI),34 Rue Du Point Du Jour - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,50 000  DHS,33.59229,-7.64159,toutes operations concernant tous produits et plus particulierement materiaux ou materiels electriques
Les fruits de dattes,78 Boulevard Le Resistance 4éme Etage N° 48 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée à Associé Unique,100 000  DHS,33.58911,-7.603885,md importateur
Taza hogata (hotel de la gare de),Quartier De La Gare - Taza,Taza,,[],Société à Responsabilité Limitée,8 000 000  DHS,34.230789,-4.010429,"exploitation de cafes, hotels, restaurants"
Alferbois,Km4 Route De Rabat Azib Hadj Kaddour - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,100 000  DHS,35.75886,-5.828749,menuiserie
Marocaine d'emballage metallique (ste)  (SMAREM),77 Rue Mohamed Smiha - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.59309,-7.608675,l'etude et la creation de tous emballages
Benomar center,"21, Rue Abou Abdallah Nafii, Maarif - El Maarif (AR)",El Maarif (AR),,[],Société à Responsabilité Limitée à Associé Unique,1 000 000  DHS,33.58694440000001,-7.6111111000000164,"achat vente, import-export d'articles de commerce divers"
Maison regneault transit importation exportation,31 Bd Hassan Seghir - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.58694440000001,-7.6111111000000164,exploitation d'un fonds de commerce de transit et transport d'importation et d'exportation
Imexdet,"Rue Abdellah Habti, Residence Rahma 5° Etage N 129 - Tanger-Assilah",Tanger-Assilah,,[],Société à Responsabilité Limitée à Associé Unique,100 000  DHS,35.778161,-5.801781,"transport, l'achat, la vente des lubrifiants et de tous genres de produits, articles, materiels, mobilier, en gros ou en detail."
Communications services (ste),Bd Mohamed V N37 - Oujda-Angad,Oujda-Angad,,[],Société à Responsabilité Limitée,100 000  DHS,34.703448,-1.896195,marchand de materiel industriel de telecommunications
Bernard guerin (ets),10 Rue Commandant Mellier - Fès,Fès,,[],Société Anonyme,48 068 000  DHS,34.0411,-5.01316,importation et vente en gros de produits alimentaires
Maroc flyer negoce general  (FNG),96 Bd Lahcen Ouidder Derb Sultan - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,20 000  DHS,33.5854,-7.60985,negoce international
Haute creation industrielle et commerciale (ste de)  (CHIC),"Espace Porte D'anfa, 29 Rue Bab El Mansour - Casablanca",Casablanca,,[],Société à Responsabilité Limitée à Associé Unique,1 600 000  DHS,33.58838,-7.64516,"fabrication de commercialisation de chassures ainsi de tous produits , articles denrees"
Sarzetex confection,"Quartier Hassania Av. De L'irak N 5 Ben Dibane, - Tanger-Assilah",Tanger-Assilah,,[],Société Anonyme,3 010 000  DHS,35.75823,-5.82562,confection de tout article d'habillement
Marocaine de la ceramique (comptoir),56 Rue De Provins - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,2 025 000  DHS,33.592067,-7.600887,"production, achat, vente et representation de tous produits ceramiques du batiment et de l'ameublement"
Fonderie 2000,Chez Segecaf 36 Rue Dinant 2eme Etage App 4 Belvedere - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,500 000  DHS,33.58694440000001,-7.6111111000000164,fonderie d'aluminium
Joclan  (JOCLAN),49 Rue De L'horloge - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,390 000  DHS,33.58694440000001,-7.6111111000000164,"l'acquisition d'un ou plusieurs terrains, la construction sur ces terrains d'un ou plusieurs et leur exploitation par voie et location"
Hydrocean,100 Rue Sidi Bouaabid - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.78189,-5.81881,travaux sous marins  venie d'article de nautisme
Cafeteria (la),Passage Du Marche - Fès,Fès,,[],Société à Responsabilité Limitée,1 500 000  DHS,34.033333,-5,"vente et achat de boissons non alcoolisees, plats du jour, sandwitches"
Nord bouhlal textile  (BOCOTEX),Rue Rivera Imm Fath Magasin 36 - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,10 000  DHS,35.766762,-5.799882,"commerce, import-export de tous types de papiers, bruts ou manufacturees tous  produits matieres et machines necessaires a l'industrie du papier...."
Transalmo et cie,N2 Bd Abou Abbas Al Araj - Casablanca,Casablanca,,['0522247989'],Société à Responsabilité Limitée,1 500 000  DHS,33.604027,-7.575165,le negoce achat vente l'importation-l'exportation la representation la commission le courtage la fabrication l'exploitation de tous produits...
Au carnaval de venise,"36-39, Rue Allal Ben Abdallah - Casablanca",Casablanca,,[],Société Anonyme,20 000  DHS,33.58694440000001,-7.6111111000000164,exploitation de magasins et vente d'articles d'habillements
Maghreb card technology,Lotissement Kadiria Immeuble N°27 Bureau N° 13 Quartier Lissasfa Arrondissement Hay Hassani - Hay-Hassani (AR),Hay-Hassani (AR),['0661414213'],['0522652623'],Société à Responsabilité Limitée,100 000  DHS,33.52874,-7.67861,commercialisation de systemes de fidelite
Houricob (ste)  (HOURICOB),15 Hay Riad Secteur 3 Bloc F - Rabat,Rabat,,[],Société à Responsabilité Limitée,80 000  DHS,33.999333,-6.844248,entrepreneur de travaux divers ou constructions
Bijex (ste)  (BIJEX),193 Rue Franchet D'esperey - Casablanca,Casablanca,,[],Société Anonyme,50 000  DHS,33.58416,-7.61042,achat vente de tous metaux et objets de bijouterie joallerie et artidcles de luxe
Etudes de gestion et de realisations des traitements de l'information (ste)  (SOGERTI),381 Rue Mustapha El Maani - Casablanca,Casablanca,,[],Société Anonyme,40 000  DHS,33.58398,-7.6225,les etudes de gestion et d'organisation
Societe immobiliere al moulkou lillah,"02 Angle Rue Ibn Toumert Et Kendi, Res. Hayam, Bureau N10 - Tanger-Médina (AR)",Tanger-Médina (AR),,[],Société à Responsabilité Limitée,100 000  DHS,35.774945,-5.802931,les travaux de construction
Gerance des ets henry hmelle afrique (ste des),Rue Cuny - Fès,Fès,,[],Société Anonyme,300 000 000  DHS,34.036306,-4.993562,vente des machines agricoles
Linea plus,2 Rue Abdellah Habti Residence Paradise B 1er Etage - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,2 500 000  DHS,35.7666667,-5.7999999999999545,"fabrication de chaussures, industrie de transformation et de conserverie de poisson, achat, vente, import, export de poissons frais, congeles ou surgeles, transforme ou non"
Atlas polyester,Route N107 Km 17 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.533333,-7.583333,importation fabrication et commercialisation des produits et accessoires en matiere plastique et polyester
Zemrani negoce,Rue Med Ben Targa Sidi Mbarek N 56 - Marrakech,Marrakech,,[],Société à Responsabilité Limitée à Associé Unique,10 000  DHS,31.637181016,-8.043727385,marchand effectuant import export
Marocaine du commerce et de l'industrie (union)  (UMACI),9 Rue Alfred De Vigny - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,3 000  DHS,33.60077,-7.63695,"industrie, commerce general de tous produits"
Industrielle de promotion et d'entreprise (cie)  (CIPRE),59 Rue Provins - Casablanca,Casablanca,,[],Société Anonyme,1 000 000  DHS,33.592067,-7.600887,entreprise de travaux publics
Boutjdir et associes (ste renocycle),Secteur 90 N2 Bouitat Cym - Rabat,Rabat,,[],Société en Nom Collectif,100 000  DHS,33.995294,-6.866454,constructeur ou monteur de cycles et motocycles
Bit confection,Co/patrick Mode Rue A Lalla Chafia N42 - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.77211,-5.82146,industrie de confection
Parisienne pour l'industrie electrique,8 Rue Du Capitaine De Fregate Lapebie - Casablanca,Casablanca,,[],Société Anonyme,1 068 835 008  DHS,33.58694440000001,-7.6111111000000164,installations de canalisation electriques chemins de fer et transways depots de combustibles liquides tuyauteries
Cap malabata,8 Rue Moussa Ben Noussair - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,100 000  DHS,35.77902,-5.81019,promotion immobiliere
Maroc voyages,Bd Du 4eme Tirailleur N19-21 - Fès,Fès,,['0536684618'],Société à Responsabilité Limitée,300 000 000  DHS,34.04066,-4.99662,agence societe de voyages et de transport transit en douane expedition
Menara concassage,Douar Ain Dadda Route D'agadir - Marrakech-Médina (AR),Marrakech-Médina (AR),,[],Société à Responsabilité Limitée à Associé Unique,100 000  DHS,31.6333333,-8,exploitant de carrieres avec engins mecaniques (de concassage)
Algerie maroc corporation  (ALMACO),69 Av Du Prince Moulay Abdellah - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.58904,-7.61859,importation exportation des produits agricoles etc
Raho de promotion et d'ese (ste),Im 38 Rue Oumerrabia Ap 1 - Rabat,Rabat,,[],Société Anonyme,1 000 000  DHS,33.998148,-6.847364,"entrepreneur de batiments (construction genie civil), exploitation une fabrique d'agglomeres"
Marocaine d'etudes et d'explorations minieres (ste)  (SMETEM),44 Rue Georges Mercie - Casablanca,Casablanca,,[],Société Anonyme,5 000 000  DHS,33.58694440000001,-7.6111111000000164,affaires minieres carrieres gisements divers
Societe l'as de construction et de batiment,Zenkat Liberiat N10 Mont Fleuri I - Fès,Fès,,[],Société Anonyme,300 000  DHS,34.01726,-4.98812,societe de construction et de batiment
Alcomar  (ALCOMAR),30 Avenue Des Far - Casablanca,Casablanca,,[],Société Anonyme,3 000 000  DHS,33.56853,-7.56009,le traitement de poissons fruits et legumes
Maroc (cie industrielle d'applicatins thermiques)  (CIAT MAROC),24 Bd Emile Zola - Casablanca,Casablanca,,[],Société Anonyme,1 000 000  DHS,33.59124,-7.60153,toutes operations se rapportant a l'entreprise de chauffage etg de plomberie commerce de tous appareils
Biologique naturelle marocaine (ste de),27 Rue Allal Ben Abdellah - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,10 000  DHS,35.778135,-5.809665,agro-industrielle exportation
Atlas (cinema),Rue Bab Hauari Imm Des Habous - Taza,Taza,,[],Société à Responsabilité Limitée,1 200 000  DHS,34.221061,-4.010664,"exploitation de sales de spectacles, publicite, cafe, cremerie, location de salles, tte operation commerciale, indust, immob, mobiliere et finan"
Lorin et associes,6 Rue Allier - Casablanca,Casablanca,,[],Société Anonyme,300 000  DHS,33.59499,-7.62708,tenant une agence de publicite
Ie 5c (ste),2 Rue Conakry Ap 4 - Rabat,Rabat,,[],Société à Responsabilité Limitée,30 000  DHS,34.015049,-6.832719999999995,negociant
Electronic buisnez development & management,Appt 29 Resid Al Masjid N 9 Rue Imam Malik Gueliz - Marrakech,Marrakech,,[],Société à Responsabilité Limitée à Associé Unique,10 000  DHS,31.63421,-8.00777,marchand exportateur (de services conception de projets via internet)
Maroc (ste electro-chimique du)  (SECMA),152 Bd Emile Zola - Casablanca,Casablanca,,[],Société Anonyme,5 000 000  DHS,33.58694440000001,-7.6111111000000164,"fabrication et vente de produits chimiques, electrometallurgiques"
Petit berlin,40 Bd Mohamed V Imm Dounia Entre Sol - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,500 000  DHS,35.470135,-6.029685,exploitant d'un salon de the cafe pizzeria
Grand veneur (le),69bis Avenue Pasteur - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.59746,-7.594155,commerce import-export de tous produits alimentaires
Marocaine d'etudes de gestion d'organisation et de commercialisation (cie)  (COMEGOC),2 Rue Du Capitaine Lapedie - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.533333,-7.583333,"etudes,exploitation,prise de brevets,representation de marques,location,diffission,publicite,edition,commercialisation,distribution de categorie"
Salsabile (ste immobiliere),12 Rue Al Mabarra - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,100 000  DHS,35.78537,-5.81635,promotion immobiliere
Petroles b p du maroc (ste des)  (BP),Rue Jacquard Quartier Industriel - Fès,Fès,,[],Société à Responsabilité Limitée,1 200 000  DHS,34.0435327505,-5.02934406558,lubrifiants
Maroc (agence commercile et industrielle du)  (ACIM),21 Rue De Louvain - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,300 000  DHS,33.58694440000001,-7.6111111000000164,"negoce, representations commerciales et industrielles import export"
Cosetra cars,Quartier Tounssi Rue 7 N6bis - Tanger-Médina (AR),Tanger-Médina (AR),,[],Société à Responsabilité Limitée,100 000  DHS,35.76025,-5.782748,transport touristique
"Immobiliere pour l'achat, la vente et la location (ste)  (AVELOC)",Lotissement Oulladia Ii N7 Route Akrech Souissi - Rabat,Rabat,,[],Société Anonyme,400 000  DHS,33.93346,-6.80761,promoteur a la construction d'immeubles
Essor colonial indtustriel et commercial (l')  (ECICO),8 Bd Du Controleur Caillat Ain Sebaa - Casablanca,Casablanca,,[],Société Anonyme,1 000  DHS,33.61781,-7.54291,commerce general de toutes matiers premieres denrees et produits manufactures
J.s.b services,87 Rue Alhzare Lot. Koutoubia - Marrakech-Médina (AR),Marrakech-Médina (AR),,[],Société à Responsabilité Limitée à Associé Unique,10 000  DHS,31.626125,-7.991235,"negociant, entrepreneur de la gestion d'exploitation de services"
Dentarun maroc,20 Rue Omar El Kindi - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.59513,-7.642,"marchand importateur vendant en gros, fabricant ou marchand de specialites ou preparations pharmacentiques ou veterinaires"
Arlau (ste)  (ARLAU),32 Rue Allal Ben Abdellah - Casablanca,Casablanca,,[],Société Anonyme,40 000  DHS,33.596015,-7.615715,l'acquisition et l'exploitation directe indirecte d'un debit de boissons ou d'un ets similaire toutes operations commerciales financieres mobilieres et immobilieres etc
Damb,Bella Vista Villa N7 - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.775024,-5.773697,import export
Maghreb construction,4 Place Gaillard - Fès,Fès,,[],Société à Responsabilité Limitée,500 000  DHS,34.033333,-5,"construction, transactions immeubles, terrains"
Sud (droguerie quincaillerie etoile du),Hay Hassani Imm Ben Ghazala - Marrakech,Marrakech,,[],Société à Responsabilité Limitée,50 000  DHS,31.630315172,-8.040685664,vente de materiaux de construction
Modelisme copperative des jeunes promoteur modelistes  (COJEP-MOD),10 Hammame Essahraoui Ben Souda - Fès,Fès,,[],Autre Forme Juridique,70 000  DHS,34.0158670276,-5.05855533362,modelisme
Karima chaussures,121 Rue Ibnou Faris Ex Mont Blanc Maarif - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.58293,-7.63798,fabricant de chaussures import export
Wimar (ste)  (WIMAR),38 Rue Gallieni - Casablanca,Casablanca,,[],Société Anonyme,200 000  DHS,33.580825,-7.623784,commerce en general de tous produits
Maroc traitement informatique (ste)  (MATI),47 Rue Nationale - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,60 000  DHS,33.59253,-7.61583,analyse programmation traitement informatique
Medical labo services (ste),10 Rue Jabal Moussa - Rabat,Rabat,,[],Société à Responsabilité Limitée,800 000  DHS,34.015049,-6.832719999999995,"marchand de produits chimiques (de laboratoire), marchand d'instruments pour les sciences (materiels scientifiques)"
Atelier urbain du design evolutif  (A.U.D.E),61 Rue Yougoslavie Passage Ghandouri Bloc F N 7 Gueliz - Marrakech,Marrakech,,[],Société à Responsabilité Limitée à Associé Unique,10 000  DHS,31.63552,-8.01434,marchand effectuant import export
Maroc congres,7 Rue Du Mexique - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,200 000  DHS,35.77997,-5.81408,agence de voyage
Domaine d'aill torg hennessy (du),Ain Torg Par Douyer Fes Banlieue - Fès,Fès,,[],Société à Responsabilité Limitée,58 500 000  DHS,34.0333333,-5,"acquisition, exploitation, administration de domaines agricoles et toutes operations s'y rattachant"
Guidicefreres (ste)(fabrique de muble et d'enballages,84 Rue De Briey - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,501 000  DHS,33.58694440000001,-7.6111111000000164,fabrique de meubles et d'emballages
Societe de transport bristol  (SOTRABRI),Hay Bouhout Rue 37 N7 - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,120 000  DHS,35.746434,-5.808113,transport de marchandises national et international
Ste approvisionement en produits et materiels pour glaciers  (SAPMAG),8 Place Mirabeau - Casablanca,Casablanca,,[],Société Anonyme,30 000  DHS,33.59616,-7.603495,commerce et industrie du materiel de fabrication des creines glacees
Maroc gaz sa,53 Avenue Du Cimetieres - Casablanca,Casablanca,,[],Société Anonyme,80 000  DHS,33.533333,-7.583333,traitements agricoles decorations desinsectisation
De transport des gaz en drac  (TRAGAZ),Angle Bd Moulay Esmail Et Rue Des Villes Par La Station Agip - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.603759,-7.540268,entrepreneur de transports de marchandises
Nayas (ste)  (NAYAS),79 Avenue Allal Ben Abdellah Massage Karrakchou - Rabat,Rabat,,[],Société à Responsabilité Limitée,100 000  DHS,34.015049,-6.832719999999995,marchand effectuant import-export
Redcity rental car,"Opération Boustane 1, Zone A, Commerce 3, Avenue Allal El Fassi, Amerchich - Marrakech-Médina (AR)",Marrakech-Médina (AR),,['0524291143'],Société à Responsabilité Limitée à Associé Unique,500 000  DHS,31.648948,-8.000829,loueur de vehicules automobiles sans chauffeur
